ρ,s,pfix,f
0.03,0.03,"[0.6722222222222223, 0.7307692307692307, 0.8095238095238095, 0.8620689655172413, 0.9099099099099099, 0.9322033898305084, 0.9354838709677419]","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]"
0.0015,0.03,"[0.9372093023255814, 0.9616368286445013, 0.979002624671916, 0.989100817438692, 0.989501312335958, 0.9922480620155039, 0.9950248756218906]","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]"
0.006,0.03,"[0.7746478873239436, 0.8306188925081434, 0.867595818815331, 0.8981818181818182, 0.9291044776119403, 0.9458483754512635, 0.9666666666666667]","[0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8]"
