ρ,s,mf,mt
0.006,0.03,"[0.0001013150406504065, 0.00011067706838833097, 0.00012425029890004782, 0.0001329285031085605, 0.00014319452415112387, 0.00015062284791965565, 0.00015987900526064086, 0.00016715832735533236, 0.00017663653754184603, 0.00018722623744619796, 0.00019929764466762318, 0.000313648778238656, 0.000347272118603539, 0.0005008428682448589, 0.0008733274151123864, 0.001111305356288857, 0.0012671573409851747, 0.0018677327235772357, 0.0024439579746532757, 0.0035015641140602586, 0.005509575920612147, 0.008711080434298813, 0.014008732989923809, 0.028662037259518634, 0.06230975774062351, 0.13833991828516592, 0.317738846158217, 0.5601576156145387, 0.7079637321275528, 0.7833341004170961, 0.8219898502930988, 0.8435940030422691, 0.8501044783264909, 0.8503347350549973, 0.8492537134146343, 0.8488116892646939, 0.8482377309899569, 0.8470595928827458, 0.8457980079430468, 0.8446880184122426, 0.8431671274509804, 0.8420062985413675, 0.8411655637254901, 0.8413595215208034, 0.8420384791965566, 0.8425402851506456, 0.8426979449076901, 0.8429421553682449, 0.8433000686274509, 0.8434584156205166, 0.8437076848397898, 0.843885387195122, 0.8440303529411763, 0.8439969227941174, 0.8440750921807747, 0.8440691761716883, 0.8441442680535628, 0.844191968764945, 0.8442400760999522, 0.8442687770803443, 0.8443620225968437, 0.8443534595588236, 0.8443561109516978, 0.8444455707901852, 0.84442524976088, 0.8444116170492586, 0.8443971170492587, 0.8443788226924916, 0.8443625325203252]","[-810.0, -778.6764705882352, -747.3529411764706, -716.0294117647059, -684.7058823529412, -653.3823529411765, -622.0588235294117, -590.7352941176471, -559.4117647058823, -528.0882352941177, -496.7647058823529, -465.44117647058823, -434.11764705882354, -402.79411764705884, -371.47058823529414, -340.1470588235294, -308.8235294117647, -277.5, -246.1764705882353, -214.85294117647058, -183.52941176470588, -152.2058823529412, -120.88235294117646, -89.55882352941177, -58.23529411764706, -26.91176470588235, 4.411764705882353, 35.73529411764706, 67.05882352941177, 98.38235294117646, 129.7058823529412, 161.02941176470588, 192.35294117647058, 223.6764705882353, 255.0, 286.3235294117647, 317.6470588235294, 348.97058823529414, 380.29411764705884, 411.61764705882354, 442.94117647058823, 474.2647058823529, 505.5882352941176, 536.9117647058823, 568.2352941176471, 599.5588235294117, 630.8823529411765, 662.2058823529412, 693.5294117647059, 724.8529411764706, 756.1764705882352, 787.5, 818.8235294117648, 850.1470588235294, 881.4705882352941, 912.7941176470588, 944.1176470588235, 975.4411764705883, 1006.7647058823529, 1038.0882352941176, 1069.4117647058824, 1100.735294117647, 1132.0588235294117, 1163.3823529411766, 1194.7058823529412, 1226.0294117647059, 1257.3529411764705, 1288.6764705882354, 1320.0]"
0.0015,0.03,"[7.542185128983308e-5, 7.742669545932065e-5, 7.97319948640131e-5, 8.345301739231936e-5, 8.290813587019963e-5, 8.693445780319832e-5, 8.776246060464574e-5, 9.024646900898795e-5, 9.112303023228669e-5, 9.23218162717404e-5, 9.643877670129569e-5, 9.735829345161667e-5, 0.00010150776234387764, 0.00010907359635811836, 0.00011043188980973502, 0.00011244116960429555, 0.00011644916540212443, 0.00011986844869849422, 0.00012636080308159217, 0.00013241122913505314, 0.0001381438076339442, 0.00014104377261585154, 0.00014365927395821175, 0.00014602527139021828, 0.00014745593556670947, 0.0001498486634761293, 0.00015320637329286797, 0.00015755019259950975, 0.00016062087078323804, 0.0001660492004202171, 0.00016796988444029413, 0.00017283173806466673, 0.00017617800863779621, 0.00018064859343994396, 0.0001846380296486518, 0.00018216884557021128, 0.00018417403992062565, 0.00018930185595891213, 0.00027555118477880236, 0.0002862374810318664, 0.000299706665110307, 0.0003921362203805299, 0.0004152940352515466, 0.00045082263336056964, 0.0004842215477996965, 0.0005200633827477531, 0.000711533325551535, 0.0007609605462822458, 0.0008855705614567526, 0.0009439491070386366, 0.0009828236255398622, 0.001270073129450216, 0.0015141259484066768, 0.001955324559355667, 0.002727702579666161, 0.003497153145791993, 0.004646087661958678, 0.006143037877903582, 0.008478583518151043, 0.011492646258900431, 0.017184347612933342, 0.024211398290354305, 0.03823821171499664, 0.06250118291117075, 0.12010740383372995, 0.24813247037215103, 0.48028217228901565, 0.6552982383212351, 0.7563371980429162, 0.8165915551506063, 0.850692951067127, 0.8732189532063513, 0.8874309216761999, 0.8968653760319072, 0.9035354573362904, 0.9073552840550956, 0.909176787089996, 0.9102777749503913, 0.9117199119878605, 0.9124052970117899, 0.9125980925644916, 0.9120210005836346, 0.9109874156647603, 0.9099606259484065, 0.9092962482782773, 0.908555106746819, 0.9082524363196564, 0.9081852026380296, 0.9085318818723007, 0.9087213641298002, 0.9090216213319128, 0.909583676024279, 0.9094378349480564, 0.908877806174857, 0.9083020866114161, 0.9081077810207717, 0.9079235283062917, 0.9082724386599743, 0.9084493512314696, 0.9084251032450099, 0.9083983971051709, 0.908307652912338, 0.9082970415548033, 0.9082931888642466, 0.9082932200303491, 0.9082156135753472, 0.9082261650519435, 0.9082318787790359, 0.9082412305357768, 0.9082598542080075, 0.9082719576281079, 0.9082809325901716, 0.9083016459670831, 0.9083138830395705, 0.9083257834714602, 0.9083423069335823, 0.9083595818839734, 0.9083748869499241, 0.9083952947356134, 0.9084129903700245, 0.9084294958561925, 0.9084432788607447, 0.9084581833780787, 0.9084687487451849, 0.9084808687988795, 0.9084931408894596, 0.9085004420450565, 0.9085102382981207, 0.9085186877553403, 0.908529445079958, 0.9085376069802731]","[-2230.0, -2195.769230769231, -2161.5384615384614, -2127.3076923076924, -2093.076923076923, -2058.846153846154, -2024.6153846153845, -1990.3846153846155, -1956.1538461538462, -1921.923076923077, -1887.6923076923076, -1853.4615384615386, -1819.2307692307693, -1785.0, -1750.7692307692307, -1716.5384615384614, -1682.3076923076924, -1648.076923076923, -1613.8461538461538, -1579.6153846153845, -1545.3846153846155, -1511.1538461538462, -1476.923076923077, -1442.6923076923076, -1408.4615384615386, -1374.2307692307693, -1340.0, -1305.7692307692307, -1271.5384615384614, -1237.3076923076924, -1203.076923076923, -1168.8461538461538, -1134.6153846153845, -1100.3846153846155, -1066.1538461538462, -1031.923076923077, -997.6923076923077, -963.4615384615385, -929.2307692307693, -895.0, -860.7692307692307, -826.5384615384615, -792.3076923076923, -758.0769230769231, -723.8461538461538, -689.6153846153846, -655.3846153846154, -621.1538461538462, -586.9230769230769, -552.6923076923077, -518.4615384615385, -484.2307692307692, -450.0, -415.7692307692308, -381.53846153846155, -347.3076923076923, -313.0769230769231, -278.84615384615387, -244.6153846153846, -210.3846153846154, -176.15384615384616, -141.92307692307693, -107.6923076923077, -73.46153846153847, -39.23076923076923, -5.0, 29.23076923076923, 63.46153846153846, 97.6923076923077, 131.92307692307693, 166.15384615384616, 200.3846153846154, 234.6153846153846, 268.84615384615387, 303.0769230769231, 337.3076923076923, 371.53846153846155, 405.7692307692308, 440.0, 474.2307692307692, 508.46153846153845, 542.6923076923077, 576.9230769230769, 611.1538461538462, 645.3846153846154, 679.6153846153846, 713.8461538461538, 748.0769230769231, 782.3076923076923, 816.5384615384615, 850.7692307692307, 885.0, 919.2307692307693, 953.4615384615385, 987.6923076923077, 1021.9230769230769, 1056.1538461538462, 1090.3846153846155, 1124.6153846153845, 1158.8461538461538, 1193.076923076923, 1227.3076923076924, 1261.5384615384614, 1295.7692307692307, 1330.0, 1364.2307692307693, 1398.4615384615386, 1432.6923076923076, 1466.923076923077, 1501.1538461538462, 1535.3846153846155, 1569.6153846153845, 1603.8461538461538, 1638.076923076923, 1672.3076923076924, 1706.5384615384614, 1740.7692307692307, 1775.0, 1809.2307692307693, 1843.4615384615386, 1877.6923076923076, 1911.923076923077, 1946.1538461538462, 1980.3846153846155, 2014.6153846153845, 2048.846153846154, 2083.076923076923, 2117.3076923076924, 2151.5384615384614, 2185.769230769231, 2220.0]"
0.03,0.03,"[0.00012976865671641792, 0.00031683427689140504, 0.0007475644621718991, 0.00130625566134843, 0.001966504632012352, 0.0026366313405238187, 0.005993272263214485, 0.012675606221623196, 0.03127140230989129, 0.09072887660706365, 0.2253383372900404, 0.4785298517756049, 0.6599149394780961, 0.735173097277355, 0.7597922382951237, 0.7595711559788124, 0.7592130520846602, 0.7564132252513467, 0.7550429680905817, 0.7552831246783324, 0.7553493298448863, 0.7545401510550694, 0.7528647613226968, 0.7513905383427688, 0.7501430887802367, 0.7494705446474523, 0.7490757828100874, 0.749157853962944, 0.7489993053268141, 0.7486330522388059]","[-280.0, -252.75862068965517, -225.51724137931035, -198.27586206896552, -171.0344827586207, -143.79310344827587, -116.55172413793103, -89.3103448275862, -62.06896551724138, -34.827586206896555, -7.586206896551724, 19.655172413793103, 46.89655172413793, 74.13793103448276, 101.37931034482759, 128.6206896551724, 155.86206896551724, 183.10344827586206, 210.3448275862069, 237.58620689655172, 264.82758620689657, 292.0689655172414, 319.3103448275862, 346.55172413793105, 373.7931034482759, 401.0344827586207, 428.2758620689655, 455.51724137931035, 482.7586206896552, 510.0]"
