mβ,β2,ρ,α,frac_overlap,Ne,av_poly
0.3,0.15999999999999998,0.003,0.3,0.20177250915838468,2083.3333333333335,2023.93567266915
0.6,0.44,0.003,0.3,0.05517741114917743,757.5757575757575,947.5604122902508
0.9,0.8400000000000001,0.003,0.3,0.008019606365362485,396.82539682539675,396.736882676829
0.3,0.15999999999999998,0.010000000000000004,0.3,0.38633084721136574,624.9999999999998,724.6615442262735
0.6,0.44,0.010000000000000004,0.3,0.14491074041127627,227.27272727272717,245.25497341364675
0.9,0.8400000000000001,0.010000000000000004,0.3,0.024642748963767214,119.04761904761898,105.33552160554149
0.3,0.15999999999999998,0.01778279410038924,0.3,0.49152427497120654,351.463328243968,400.5991246394272
0.6,0.44,0.01778279410038924,0.3,0.21539537814990062,127.80484663417016,161.84424051868874
0.9,0.8400000000000001,0.01778279410038924,0.3,0.040658421748136844,66.9453958559939,78.5384763992066
0.3,0.15999999999999998,0.0316227766016838,0.3,0.5894308459097246,197.64235376052372,280.99976777971165
0.6,0.44,0.0316227766016838,0.3,0.3025469988975234,71.86994682200861,93.85744036547618
0.9,0.8400000000000001,0.0316227766016838,0.3,0.06469954997066826,37.64616262105213,45.20120085719079
0.3,0.15999999999999998,0.05623413251903493,0.3,0.6708705976629425,111.14246312743265,166.33437415026413
0.6,0.44,0.05623413251903493,0.3,0.39995283930912096,40.41544113724823,67.1662581092042
0.9,0.8400000000000001,0.05623413251903493,0.3,0.09829890695401804,21.169992976653834,26.899534046480166
0.3,0.15999999999999998,0.10000000000000002,0.3,0.7329035993628074,62.5,119.9300770622726
0.6,0.44,0.10000000000000002,0.3,0.49724665650304667,22.727272727272723,50.58855701571324
0.9,0.8400000000000001,0.10000000000000002,0.3,0.14123734871866334,11.904761904761902,19.150121305829536
