t,f,pos,state,final_state,id
57020,0.046699,1,1,lost,1
57030,0.0508,1,1,lost,1
57040,0.055325,1,1,lost,1
57050,0.060494,1,1,lost,1
57060,0.067243,1,1,lost,1
57070,0.073051,1,1,lost,1
57080,0.079485,1,1,lost,1
57090,0.085749,1,1,lost,1
57100,0.092412,1,1,lost,1
57110,0.097857,1,1,lost,1
57120,0.103713,1,1,lost,1
57130,0.110556,1,1,lost,1
57140,0.115238,1,1,lost,1
57150,0.122243,1,1,lost,1
57160,0.12677,1,1,lost,1
57170,0.131155,1,1,lost,1
57180,0.133939,1,1,lost,1
57190,0.136968,1,1,lost,1
57200,0.135758,1,1,lost,1
57210,0.135539,1,1,lost,1
57220,0.131166,1,1,lost,1
57230,0.125804,1,1,lost,1
57240,0.119832,1,1,lost,1
57250,0.110004,1,1,lost,1
57260,0.101753,1,1,lost,1
57270,0.090062,1,1,lost,1
57280,0.077045,1,1,lost,1
57290,0.063542,1,1,lost,1
57300,0.050138,1,1,lost,1
57310,0.037559,1,1,lost,1
58420,0.029743,1,1,fixed,2
58430,0.060818,1,1,fixed,2
58440,0.11911,1,1,fixed,2
58450,0.207514,1,1,fixed,2
58460,0.323869,1,1,fixed,2
58470,0.443177,1,1,fixed,2
58480,0.547441,1,1,fixed,2
58490,0.630806,1,1,fixed,2
58500,0.69198,1,1,fixed,2
58510,0.740045,1,1,fixed,2
58520,0.772968,1,1,fixed,2
58530,0.806722,1,1,fixed,2
58540,0.836665,1,1,fixed,2
58550,0.861212,1,1,fixed,2
58560,0.883644,1,1,fixed,2
58570,0.902382,1,1,fixed,2
58580,0.917747,1,1,fixed,2
58590,0.931312,1,1,fixed,2
58600,0.943523,1,1,fixed,2
58610,0.952484,1,1,fixed,2
78250,0.047079,1,1,fixed,3
78260,0.058758,1,1,fixed,3
78270,0.062431,1,1,fixed,3
78280,0.066303,1,1,fixed,3
78290,0.071676,1,1,fixed,3
78300,0.078907,1,1,fixed,3
78310,0.087155,1,1,fixed,3
78320,0.097639,1,1,fixed,3
78330,0.11221,1,1,fixed,3
78340,0.128877,1,1,fixed,3
78350,0.149019,1,1,fixed,3
78360,0.172127,1,1,fixed,3
78370,0.201739,1,1,fixed,3
78380,0.236088,1,1,fixed,3
78390,0.277881,1,1,fixed,3
78400,0.323135,1,1,fixed,3
78410,0.373084,1,1,fixed,3
78420,0.426732,1,1,fixed,3
78430,0.487049,1,1,fixed,3
78440,0.55343,1,1,fixed,3
78450,0.619477,1,1,fixed,3
78460,0.685713,1,1,fixed,3
78470,0.767159,1,1,fixed,3
78480,0.850707,1,1,fixed,3
78490,0.919948,1,1,fixed,3
78500,0.963431,1,1,fixed,3
109610,0.028065,1,1,fixed,4
109620,0.086609,1,1,fixed,4
109630,0.232959,1,1,fixed,4
109640,0.501979,1,1,fixed,4
109650,0.767537,1,1,fixed,4
109660,0.915417,1,1,fixed,4
109670,0.971891,1,1,fixed,4
146790,0.046449,1,1,lost,5
146800,0.059813,1,1,lost,5
146810,0.076978,1,1,lost,5
146820,0.098694,1,1,lost,5
146830,0.126167,1,1,lost,5
146840,0.158497,1,1,lost,5
146850,0.198568,1,1,lost,5
146860,0.246925,1,1,lost,5
146870,0.298016,1,1,lost,5
146880,0.357078,1,1,lost,5
146890,0.420873,1,1,lost,5
146900,0.484643,1,1,lost,5
146910,0.554888,1,1,lost,5
146920,0.619554,1,1,lost,5
146930,0.682811,1,1,lost,5
146940,0.738563,1,1,lost,5
146950,0.78847,1,1,lost,5
146960,0.830471,1,1,lost,5
146970,0.863778,1,1,lost,5
146980,0.892316,1,1,lost,5
146990,0.915966,1,1,lost,5
147000,0.935322,1,1,lost,5
147010,0.932307,1,1,lost,5
147020,0.918233,1,1,lost,5
147030,0.865077,1,1,lost,5
147040,0.748153,1,1,lost,5
147050,0.554093,1,1,lost,5
147060,0.33216,1,1,lost,5
147070,0.166191,1,1,lost,5
147080,0.073934,1,1,lost,5
147090,0.029449,1,1,lost,5
149900,0.047355,1,1,fixed,6
149910,0.058865,1,1,fixed,6
149920,0.073968,1,1,fixed,6
149930,0.092059,1,1,fixed,6
149940,0.111161,1,1,fixed,6
149950,0.140106,1,1,fixed,6
149960,0.169648,1,1,fixed,6
149970,0.203139,1,1,fixed,6
149980,0.244667,1,1,fixed,6
149990,0.290724,1,1,fixed,6
150000,0.341492,1,1,fixed,6
150010,0.394311,1,1,fixed,6
150020,0.451576,1,1,fixed,6
150030,0.509673,1,1,fixed,6
150040,0.568564,1,1,fixed,6
150050,0.624852,1,1,fixed,6
150060,0.678554,1,1,fixed,6
150070,0.726121,1,1,fixed,6
150080,0.767592,1,1,fixed,6
150090,0.805768,1,1,fixed,6
150100,0.840546,1,1,fixed,6
150110,0.869808,1,1,fixed,6
150120,0.894434,1,1,fixed,6
150130,0.915413,1,1,fixed,6
150140,0.932454,1,1,fixed,6
150150,0.946061,1,1,fixed,6
150160,0.956478,1,1,fixed,6
56500,0.046278,1,-1,fixed,7
56510,0.065454,1,-1,fixed,7
56520,0.093175,1,-1,fixed,7
56530,0.129648,1,-1,fixed,7
56540,0.176886,1,-1,fixed,7
56550,0.235182,1,-1,fixed,7
56560,0.312422,1,-1,fixed,7
56570,0.397883,1,-1,fixed,7
56580,0.490533,1,-1,fixed,7
56590,0.587114,1,-1,fixed,7
56600,0.675655,1,-1,fixed,7
56610,0.753642,1,-1,fixed,7
56620,0.817763,1,-1,fixed,7
56630,0.869176,1,-1,fixed,7
56640,0.910407,1,-1,fixed,7
56650,0.937507,1,-1,fixed,7
56660,0.957905,1,-1,fixed,7
58780,0.036136,1,-1,fixed,8
58790,0.06155,1,-1,fixed,8
58800,0.10833,1,-1,fixed,8
58810,0.183814,1,-1,fixed,8
58820,0.297391,1,-1,fixed,8
58830,0.443052,1,-1,fixed,8
58840,0.597653,1,-1,fixed,8
58850,0.733278,1,-1,fixed,8
58860,0.832317,1,-1,fixed,8
58870,0.898265,1,-1,fixed,8
58880,0.940166,1,-1,fixed,8
58890,0.964478,1,-1,fixed,8
94930,0.044868,1,-1,fixed,9
94940,0.055031,1,-1,fixed,9
94950,0.067106,1,-1,fixed,9
94960,0.079991,1,-1,fixed,9
94970,0.093977,1,-1,fixed,9
94980,0.113048,1,-1,fixed,9
94990,0.134484,1,-1,fixed,9
95000,0.158233,1,-1,fixed,9
95010,0.183197,1,-1,fixed,9
95020,0.210966,1,-1,fixed,9
95030,0.243879,1,-1,fixed,9
95040,0.279735,1,-1,fixed,9
95050,0.32025,1,-1,fixed,9
95060,0.362964,1,-1,fixed,9
95070,0.409074,1,-1,fixed,9
95080,0.457003,1,-1,fixed,9
95090,0.502705,1,-1,fixed,9
95100,0.552198,1,-1,fixed,9
95110,0.597263,1,-1,fixed,9
95120,0.640877,1,-1,fixed,9
95130,0.684704,1,-1,fixed,9
95140,0.725106,1,-1,fixed,9
95150,0.761796,1,-1,fixed,9
95160,0.791416,1,-1,fixed,9
95170,0.81922,1,-1,fixed,9
95180,0.844566,1,-1,fixed,9
95190,0.867884,1,-1,fixed,9
95200,0.887748,1,-1,fixed,9
95210,0.904419,1,-1,fixed,9
95220,0.918968,1,-1,fixed,9
95230,0.93292,1,-1,fixed,9
95240,0.943637,1,-1,fixed,9
