t,varpos_5,varpos_strict,n_genotypes
166.66666666666666,0,1,2
176.66666666666666,0,1,2
186.66666666666666,0,1,2
196.66666666666666,0,1,2
206.66666666666666,0,1,2
216.66666666666666,0,1,2
226.66666666666666,0,1,2
236.66666666666666,0,1,2
246.66666666666666,0,1,2
256.66666666666663,0,2,3
266.66666666666663,0,2,3
276.66666666666663,1,2,3
286.66666666666663,1,2,3
296.66666666666663,1,3,4
306.66666666666663,1,3,4
316.66666666666663,2,3,4
326.66666666666663,2,4,5
336.66666666666663,2,4,5
346.66666666666663,2,4,5
356.66666666666663,3,4,5
366.66666666666663,3,4,5
376.66666666666663,3,4,5
386.66666666666663,3,4,5
396.66666666666663,3,4,5
406.66666666666663,3,4,5
416.66666666666663,3,5,6
426.66666666666663,3,5,6
436.66666666666663,3,5,6
446.66666666666663,3,4,5
456.66666666666663,3,4,5
466.66666666666663,3,4,5
476.66666666666663,3,4,5
486.66666666666663,3,4,4
496.66666666666663,3,4,4
506.66666666666663,3,4,4
516.6666666666666,3,5,5
526.6666666666666,3,5,5
536.6666666666666,3,5,5
546.6666666666666,3,5,5
556.6666666666666,3,5,5
566.6666666666666,3,5,5
576.6666666666666,3,5,5
586.6666666666666,3,5,5
596.6666666666666,3,5,5
606.6666666666666,3,5,5
616.6666666666666,3,5,5
626.6666666666666,3,5,5
636.6666666666666,3,5,5
646.6666666666666,3,5,5
656.6666666666666,3,4,4
666.6666666666666,3,4,4
676.6666666666666,3,4,3
686.6666666666666,3,4,3
696.6666666666666,3,4,3
706.6666666666666,3,4,3
716.6666666666666,3,4,3
726.6666666666666,3,4,3
736.6666666666666,3,4,3
746.6666666666666,3,4,3
756.6666666666666,3,4,3
766.6666666666666,0,4,3
776.6666666666666,0,4,3
786.6666666666666,0,4,3
796.6666666666666,0,4,3
806.6666666666666,0,4,3
816.6666666666666,0,4,3
826.6666666666666,0,4,3
836.6666666666666,0,4,3
846.6666666666666,0,4,3
856.6666666666666,0,3,2
866.6666666666666,0,3,2
876.6666666666666,0,3,2
886.6666666666666,0,4,3
896.6666666666666,0,4,3
906.6666666666666,0,4,3
916.6666666666666,1,4,3
926.6666666666666,1,4,3
936.6666666666666,1,4,3
946.6666666666666,1,4,3
956.6666666666666,1,4,3
966.6666666666666,1,4,3
976.6666666666666,1,4,3
986.6666666666666,1,4,3
996.6666666666666,1,4,3
1006.6666666666666,1,4,3
1016.6666666666666,1,4,3
1026.6666666666665,1,4,3
1036.6666666666665,1,4,3
1046.6666666666665,1,4,3
1056.6666666666665,1,1,3
1066.6666666666665,1,4,3
1076.6666666666665,1,1,2
1086.6666666666665,1,1,2
1096.6666666666665,1,1,2
1106.6666666666665,0,1,2
1116.6666666666665,0,1,2
1126.6666666666665,0,1,2
1136.6666666666665,0,1,2
1146.6666666666665,0,1,2
1156.6666666666665,0,1,2
1166.6666666666665,0,1,2
1176.6666666666665,0,1,2
1186.6666666666665,0,1,2
