t,varpos_5,varpos_strict,n_genotypes
1666.6666666666665,6,11,12
1676.6666666666665,6,11,12
1686.6666666666665,6,11,12
1696.6666666666665,6,11,12
1706.6666666666665,6,11,12
1716.6666666666665,6,11,12
1726.6666666666665,6,11,12
1736.6666666666665,5,11,12
1746.6666666666665,6,11,12
1756.6666666666665,6,11,12
1766.6666666666665,6,11,12
1776.6666666666665,6,11,12
1786.6666666666665,6,11,12
1796.6666666666665,6,11,12
1806.6666666666665,6,11,12
1816.6666666666665,6,11,12
1826.6666666666665,6,11,12
1836.6666666666665,6,11,12
1846.6666666666665,6,11,12
1856.6666666666665,6,11,12
1866.6666666666665,6,11,12
1876.6666666666665,6,11,12
1886.6666666666665,6,11,12
1896.6666666666665,6,12,13
1906.6666666666665,6,13,14
1916.6666666666665,6,13,14
1926.6666666666665,6,13,14
1936.6666666666665,7,13,14
1946.6666666666665,8,13,14
1956.6666666666665,8,13,14
1966.6666666666665,8,13,14
1976.6666666666665,8,13,14
1986.6666666666665,8,13,14
1996.6666666666665,7,13,14
2006.6666666666665,9,13,14
2016.6666666666665,8,13,14
2026.6666666666665,9,13,14
2036.6666666666665,7,13,14
2046.6666666666665,7,13,14
2056.6666666666665,7,13,14
2066.6666666666665,7,13,14
2076.6666666666665,7,14,15
2086.6666666666665,7,14,15
2096.6666666666665,8,14,15
2106.6666666666665,8,14,15
2116.6666666666665,8,14,15
2126.6666666666665,8,14,15
2136.6666666666665,8,14,15
2146.6666666666665,8,14,15
2156.6666666666665,8,14,15
2166.6666666666665,8,14,15
2176.6666666666665,8,14,15
2186.6666666666665,8,14,15
2196.6666666666665,8,14,15
2206.6666666666665,8,15,14
2216.6666666666665,8,15,14
2226.6666666666665,8,15,14
2236.6666666666665,8,15,14
2246.6666666666665,8,15,14
2256.6666666666665,9,15,14
2266.6666666666665,9,15,14
2276.6666666666665,9,15,14
2286.6666666666665,9,15,14
2296.6666666666665,9,15,14
2306.6666666666665,9,15,14
2316.6666666666665,9,15,14
2326.6666666666665,9,15,14
2336.6666666666665,9,15,14
2346.6666666666665,9,15,14
2356.6666666666665,9,15,14
2366.6666666666665,9,15,13
2376.6666666666665,9,15,13
2386.6666666666665,9,15,13
2396.6666666666665,9,15,13
2406.6666666666665,9,15,13
2416.6666666666665,9,15,13
2426.6666666666665,9,15,13
2436.6666666666665,9,15,13
2446.6666666666665,9,15,13
2456.6666666666665,9,14,12
2466.6666666666665,9,14,12
2476.6666666666665,9,14,12
2486.6666666666665,9,14,12
2496.6666666666665,9,14,12
2506.6666666666665,9,14,12
2516.6666666666665,9,14,12
2526.6666666666665,9,14,12
2536.6666666666665,9,14,12
2546.6666666666665,9,14,12
2556.6666666666665,9,14,12
2566.6666666666665,9,14,12
2576.6666666666665,9,14,12
2586.6666666666665,9,14,12
2596.6666666666665,9,14,12
2606.6666666666665,9,14,12
2616.6666666666665,9,14,12
2626.6666666666665,9,14,12
2636.6666666666665,9,14,12
2646.6666666666665,9,14,12
2656.6666666666665,9,14,12
2666.6666666666665,9,14,12
2676.6666666666665,9,14,12
