t,varpos_5,varpos_strict,n_genotypes
51.85185185185184,0,0,1
61.85185185185184,0,0,1
71.85185185185185,0,0,1
81.85185185185185,0,1,2
91.85185185185185,1,1,2
101.85185185185185,1,1,2
111.85185185185185,1,1,2
121.85185185185185,1,1,2
131.85185185185185,1,2,3
141.85185185185185,1,2,3
151.85185185185185,1,3,4
161.85185185185185,1,3,4
171.85185185185185,1,3,4
181.85185185185185,1,3,4
191.85185185185185,1,3,4
201.85185185185185,2,4,5
211.85185185185185,2,4,5
221.85185185185185,2,4,5
231.85185185185185,2,4,5
241.85185185185185,2,4,5
251.85185185185185,2,6,7
261.85185185185185,5,8,9
271.85185185185185,4,8,9
281.85185185185185,4,8,9
291.85185185185185,4,7,8
301.85185185185185,4,7,8
311.85185185185185,4,7,8
321.85185185185185,4,9,9
331.85185185185185,6,9,9
341.85185185185185,6,9,9
351.85185185185185,6,8,7
361.85185185185185,6,8,7
371.85185185185185,6,8,6
381.85185185185185,6,9,7
391.85185185185185,6,9,7
401.85185185185185,6,9,6
411.85185185185185,6,9,6
421.85185185185185,6,10,7
431.85185185185185,7,9,7
441.85185185185185,7,9,7
451.85185185185185,7,9,7
461.85185185185185,3,9,7
471.85185185185185,3,9,7
481.85185185185185,2,9,7
491.85185185185185,3,10,8
501.85185185185185,2,10,8
511.85185185185185,2,10,8
521.8518518518518,1,10,8
531.8518518518518,1,10,8
541.8518518518518,1,10,8
551.8518518518518,1,10,8
561.8518518518518,2,13,10
571.8518518518518,3,12,10
581.8518518518518,3,12,9
591.8518518518518,3,12,9
601.8518518518518,4,13,10
611.8518518518518,4,13,10
621.8518518518518,4,13,10
631.8518518518518,4,13,10
641.8518518518518,4,13,10
651.8518518518518,4,12,8
661.8518518518518,4,11,7
671.8518518518518,10,11,7
681.8518518518518,10,13,9
691.8518518518518,11,13,9
701.8518518518518,11,13,9
711.8518518518518,11,13,9
721.8518518518518,11,13,9
731.8518518518518,11,13,9
741.8518518518518,11,13,9
751.8518518518518,11,13,9
761.8518518518518,10,14,10
771.8518518518518,11,14,10
781.8518518518518,11,13,10
791.8518518518518,11,13,9
801.8518518518518,12,14,10
