t,varpos_5,varpos_strict,n_genotypes
33.333333333333336,1,1,2
43.333333333333336,1,1,2
53.333333333333336,1,1,2
63.333333333333336,1,1,2
73.33333333333334,1,1,2
83.33333333333334,1,1,2
93.33333333333334,1,1,2
103.33333333333334,1,1,2
113.33333333333334,1,1,2
123.33333333333334,1,1,2
133.33333333333334,0,1,2
143.33333333333334,0,1,2
153.33333333333334,0,1,2
163.33333333333334,0,2,3
173.33333333333334,1,2,3
183.33333333333334,1,2,3
193.33333333333334,1,3,4
203.33333333333334,1,3,4
213.33333333333334,1,4,5
223.33333333333334,0,3,4
233.33333333333334,0,3,4
243.33333333333334,2,4,5
253.33333333333334,2,4,5
263.33333333333337,2,5,6
273.33333333333337,2,4,5
283.33333333333337,2,4,5
293.33333333333337,2,4,5
303.33333333333337,2,5,6
313.33333333333337,3,5,6
323.33333333333337,2,5,6
333.33333333333337,2,5,6
343.33333333333337,2,5,6
353.33333333333337,2,5,6
363.33333333333337,2,5,6
373.33333333333337,2,5,6
383.33333333333337,1,5,6
393.33333333333337,1,5,6
403.33333333333337,1,5,6
413.33333333333337,0,6,7
423.33333333333337,0,6,7
433.33333333333337,1,5,6
443.33333333333337,1,3,4
453.33333333333337,1,3,4
463.33333333333337,1,2,3
473.33333333333337,1,2,3
483.33333333333337,1,3,4
493.33333333333337,1,4,5
503.33333333333337,2,4,5
513.3333333333334,2,4,6
523.3333333333334,1,4,5
533.3333333333334,1,4,5
543.3333333333334,1,4,5
553.3333333333334,1,4,5
563.3333333333334,1,4,5
573.3333333333334,0,4,5
583.3333333333334,0,3,4
593.3333333333334,0,2,3
603.3333333333334,0,1,2
613.3333333333334,0,1,2
623.3333333333334,0,2,3
633.3333333333334,1,2,3
643.3333333333334,1,2,3
653.3333333333334,1,1,3
663.3333333333334,1,2,3
673.3333333333334,1,2,3
683.3333333333334,1,2,3
693.3333333333334,1,2,3
703.3333333333334,1,2,3
713.3333333333334,1,2,3
723.3333333333334,1,2,3
733.3333333333334,1,3,4
743.3333333333334,1,3,4
753.3333333333334,1,3,4
763.3333333333334,1,3,4
773.3333333333334,0,4,5
783.3333333333334,0,3,4
793.3333333333334,0,3,4
803.3333333333334,0,3,4
813.3333333333334,0,2,3
823.3333333333334,1,3,4
833.3333333333334,1,4,5
843.3333333333334,2,5,6
853.3333333333334,2,5,6
863.3333333333334,2,5,6
873.3333333333334,4,5,6
883.3333333333334,4,5,6
893.3333333333334,4,6,7
903.3333333333334,4,7,8
913.3333333333334,4,7,8
923.3333333333334,5,7,8
933.3333333333334,6,7,8
943.3333333333334,6,8,9
953.3333333333334,5,9,10
963.3333333333334,5,9,10
973.3333333333334,6,9,10
983.3333333333334,5,9,10
993.3333333333334,4,9,10
1003.3333333333334,4,9,10
1013.3333333333334,4,9,10
1023.3333333333334,2,9,10
1033.3333333333333,2,10,11
1043.3333333333333,1,10,11
1053.3333333333333,0,10,10
1063.3333333333333,0,11,10
1073.3333333333333,1,10,9
1083.3333333333333,1,11,10
1093.3333333333333,1,10,9
1103.3333333333333,2,10,8
1113.3333333333333,2,10,8
1123.3333333333333,3,11,9
1133.3333333333333,5,11,9
1143.3333333333333,5,10,7
1153.3333333333333,5,10,7
1163.3333333333333,5,10,7
1173.3333333333333,5,10,7
1183.3333333333333,4,5,6
1193.3333333333333,4,5,6
1203.3333333333333,4,5,6
1213.3333333333333,3,5,6
1223.3333333333333,2,5,6
1233.3333333333333,2,5,6
1243.3333333333333,0,5,6
1253.3333333333333,0,7,8
1263.3333333333333,0,9,10
1273.3333333333333,0,9,10
1283.3333333333333,0,10,10
1293.3333333333333,1,10,10
1303.3333333333333,1,10,10
1313.3333333333333,2,13,12
1323.3333333333333,3,13,13
1333.3333333333333,3,13,12
1343.3333333333333,3,13,12
1353.3333333333333,4,13,12
1363.3333333333333,4,15,14
1373.3333333333333,5,16,15
1383.3333333333333,5,16,15
1393.3333333333333,7,17,16
1403.3333333333333,8,17,16
1413.3333333333333,6,17,16
1423.3333333333333,6,15,16
1433.3333333333333,7,15,16
1443.3333333333333,7,15,16
1453.3333333333333,7,14,15
1463.3333333333333,7,13,14
1473.3333333333333,7,13,14
1483.3333333333333,7,12,13
1493.3333333333333,7,12,12
1503.3333333333333,7,12,12
1513.3333333333333,8,13,13
1523.3333333333333,8,14,14
1533.3333333333333,8,15,15
1543.3333333333333,8,15,14
1553.3333333333333,8,14,13
1563.3333333333333,9,13,13
1573.3333333333333,9,13,12
1583.3333333333333,9,13,12
1593.3333333333333,9,13,12
