t,varpos_5,varpos_strict,n_genotypes
500.0,2,6,7
510.0,2,6,7
520.0,2,6,7
530.0,2,6,7
540.0,2,6,7
550.0,2,6,7
560.0,2,6,7
570.0,2,6,7
580.0,2,6,7
590.0,2,6,7
600.0,2,6,7
610.0,2,6,7
620.0,2,6,7
630.0,2,6,7
640.0,2,7,8
650.0,2,7,8
660.0,2,7,8
670.0,2,7,8
680.0,2,7,8
690.0,2,7,8
700.0,3,7,8
710.0,3,7,8
720.0,3,7,8
730.0,3,7,8
740.0,3,7,8
750.0,3,7,8
760.0,3,7,8
770.0,3,7,8
780.0,3,7,8
790.0,3,7,8
800.0,3,7,8
810.0,3,7,8
820.0,3,8,9
830.0,3,8,9
840.0,3,8,9
850.0,3,8,9
860.0,3,8,9
870.0,4,8,9
880.0,4,8,9
890.0,4,8,9
900.0,4,8,9
910.0,4,8,9
920.0,5,8,9
930.0,5,8,9
940.0,5,8,9
950.0,5,8,9
960.0,6,8,9
970.0,6,8,9
980.0,6,8,9
990.0,6,8,9
1000.0,6,8,9
1010.0,6,8,9
1020.0,6,8,9
1030.0,6,8,9
1040.0,6,9,10
1050.0,6,9,10
1060.0,6,9,10
1070.0,7,9,10
1080.0,7,9,10
1090.0,7,9,10
1100.0,7,9,10
1110.0,7,9,10
1120.0,7,9,10
1130.0,7,9,10
1140.0,7,9,10
1150.0,7,9,10
1160.0,7,9,10
1170.0,6,9,10
1180.0,7,9,10
1190.0,7,9,10
1200.0,7,9,10
1210.0,7,9,10
1220.0,6,9,10
1230.0,6,9,10
1240.0,6,9,10
1250.0,6,9,10
1260.0,6,9,9
1270.0,6,9,9
1280.0,6,9,9
1290.0,6,9,9
1300.0,6,9,9
1310.0,6,9,9
1320.0,6,9,9
1330.0,6,9,9
1340.0,6,9,9
1350.0,6,9,9
1360.0,7,9,9
1370.0,7,9,9
1380.0,7,9,9
1390.0,7,9,9
1400.0,7,9,9
1410.0,7,9,9
1420.0,7,9,9
1430.0,7,8,8
1440.0,7,8,8
1450.0,7,8,8
1460.0,7,8,8
1470.0,7,8,8
1480.0,7,9,9
1490.0,7,9,9
1500.0,7,10,10
1510.0,7,10,10
1520.0,7,10,10
1530.0,8,10,10
1540.0,8,10,10
1550.0,8,10,10
1560.0,8,10,10
1570.0,8,10,10
1580.0,8,10,10
1590.0,8,11,11
1600.0,8,11,11
1610.0,8,11,11
1620.0,8,11,10
1630.0,8,11,10
1640.0,8,11,10
1650.0,8,11,10
1660.0,7,11,10
1670.0,7,11,10
1680.0,7,11,10
1690.0,7,11,10
1700.0,7,11,10
1710.0,7,11,10
1720.0,7,11,10
1730.0,7,11,10
1740.0,7,11,10
1750.0,7,11,10
1760.0,7,11,10
1770.0,7,11,10
1780.0,7,11,10
1790.0,7,11,10
1800.0,7,11,10
1810.0,7,12,11
1820.0,7,12,11
1830.0,7,12,11
1840.0,7,12,11
1850.0,7,12,11
1860.0,8,12,11
1870.0,8,12,11
1880.0,8,12,11
1890.0,8,12,11
1900.0,8,12,11
1910.0,8,12,11
1920.0,8,12,11
1930.0,8,12,11
1940.0,8,12,11
1950.0,8,12,11
1960.0,8,12,11
1970.0,8,11,10
1980.0,8,11,10
1990.0,8,11,10
2000.0,8,12,11
2010.0,8,12,11
2020.0,9,12,11
2030.0,9,12,11
2040.0,9,11,10
2050.0,8,11,10
2060.0,8,11,10
2070.0,8,11,10
2080.0,8,11,10
2090.0,8,11,10
2100.0,7,11,10
2110.0,6,11,10
2120.0,6,11,10
2130.0,6,11,10
2140.0,6,11,10
2150.0,6,11,10
2160.0,6,11,10
2170.0,6,11,10
2180.0,6,11,9
2190.0,6,11,9
2200.0,3,11,9
2210.0,2,11,9
2220.0,3,11,9
2230.0,3,10,8
2240.0,2,10,8
2250.0,2,10,8
2260.0,2,10,8
2270.0,2,10,8
2280.0,2,10,8
2290.0,2,10,7
2300.0,2,10,7
2310.0,2,10,7
2320.0,2,10,7
2330.0,2,10,7
2340.0,2,10,7
2350.0,2,10,7
2360.0,2,10,7
2370.0,2,10,7
2380.0,2,10,7
2390.0,2,10,7
2400.0,2,10,7
2410.0,2,10,7
2420.0,2,10,7
2430.0,2,10,6
2440.0,2,10,6
2450.0,2,10,6
2460.0,2,10,6
2470.0,2,10,6
2480.0,6,10,6
2490.0,6,10,6
2500.0,2,10,6
2510.0,2,10,6
2520.0,2,10,6
2530.0,2,10,6
2540.0,2,10,6
2550.0,2,10,6
2560.0,2,10,6
2570.0,2,10,6
2580.0,2,10,6
2590.0,2,10,6
2600.0,2,10,6
2610.0,2,10,6
2620.0,2,10,6
2630.0,2,10,6
2640.0,2,10,6
2650.0,2,10,6
2660.0,2,10,6
2670.0,2,10,6
2680.0,2,10,6
2690.0,2,10,6
2700.0,2,10,6
2710.0,2,8,5
2720.0,2,8,5
2730.0,2,8,5
2740.0,2,8,5
2750.0,2,8,5
2760.0,2,8,5
2770.0,2,8,5
2780.0,2,8,5
2790.0,2,9,6
2800.0,2,9,6
2810.0,3,9,6
2820.0,3,9,6
2830.0,3,9,6
2840.0,3,9,6
2850.0,3,9,6
2860.0,3,9,6
2870.0,3,9,6
2880.0,3,10,7
2890.0,2,10,7
2900.0,2,10,7
2910.0,2,10,7
2920.0,2,10,7
2930.0,2,10,7
2940.0,2,10,7
2950.0,2,10,7
2960.0,2,10,7
2970.0,2,10,7
2980.0,2,9,6
2990.0,2,9,6
3000.0,2,9,6
3010.0,2,9,6
3020.0,2,9,6
3030.0,2,9,6
3040.0,2,10,7
3050.0,2,10,7
3060.0,2,10,7
3070.0,2,10,7
3080.0,2,10,7
3090.0,3,10,7
3100.0,3,10,7
3110.0,3,10,7
3120.0,3,10,7
3130.0,3,6,7
3140.0,3,6,7
3150.0,3,6,7
3160.0,4,6,7
3170.0,4,6,7
3180.0,4,6,7
3190.0,4,6,7
3200.0,4,7,8
3210.0,4,7,8
3220.0,4,7,8
3230.0,4,8,9
3240.0,4,8,9
3250.0,4,8,9
3260.0,4,8,9
3270.0,4,8,9
3280.0,4,8,9
3290.0,4,8,9
3300.0,4,8,9
3310.0,4,8,9
3320.0,4,8,9
3330.0,4,8,9
3340.0,4,8,9
3350.0,4,8,9
3360.0,4,8,9
3370.0,4,9,10
3380.0,4,9,10
3390.0,5,9,10
3400.0,5,9,10
3410.0,5,9,10
3420.0,5,9,10
3430.0,6,9,10
3440.0,5,9,10
3450.0,5,9,10
3460.0,5,9,10
3470.0,5,9,10
3480.0,5,9,10
3490.0,5,9,10
3500.0,5,9,10
3510.0,5,9,10
3520.0,5,9,10
3530.0,5,9,10
3540.0,5,9,10
3550.0,5,9,10
3560.0,5,9,10
3570.0,6,9,10
3580.0,6,9,10
3590.0,6,9,10
3600.0,6,9,10
3610.0,6,9,10
3620.0,6,9,10
3630.0,6,9,10
3640.0,6,9,10
3650.0,6,9,10
3660.0,6,9,10
3670.0,6,9,10
3680.0,6,9,10
3690.0,6,9,10
3700.0,6,9,10
3710.0,6,9,10
3720.0,6,9,10
3730.0,6,9,10
3740.0,6,10,11
3750.0,6,10,11
3760.0,6,10,11
3770.0,6,10,11
3780.0,6,10,11
3790.0,6,11,12
3800.0,7,11,12
3810.0,7,11,12
3820.0,7,12,13
3830.0,7,12,13
3840.0,7,12,12
3850.0,5,12,12
3860.0,3,12,12
3870.0,3,12,11
3880.0,4,12,11
3890.0,4,12,11
3900.0,4,10,10
3910.0,4,10,10
3920.0,4,10,10
3930.0,4,10,10
3940.0,4,10,10
3950.0,4,10,10
3960.0,4,10,10
3970.0,4,10,10
3980.0,4,11,11
