t,varpos_5,varpos_strict,n_genotypes
6666.666666666666,6,8,8
6676.666666666666,7,8,8
6686.666666666666,7,8,8
6696.666666666666,7,8,8
6706.666666666666,6,8,8
6716.666666666666,6,8,8
6726.666666666666,6,8,8
6736.666666666666,6,8,8
6746.666666666666,6,8,8
6756.666666666666,6,8,8
6766.666666666666,6,8,8
6776.666666666666,6,8,8
6786.666666666666,6,8,8
6796.666666666666,6,8,8
6806.666666666666,6,8,8
6816.666666666666,6,8,8
6826.666666666666,6,8,8
6836.666666666666,6,8,8
6846.666666666666,6,8,8
6856.666666666666,4,9,9
6866.666666666666,4,9,9
6876.666666666666,4,9,9
6886.666666666666,5,9,9
6896.666666666666,5,9,9
6906.666666666666,5,9,9
6916.666666666666,5,9,9
6926.666666666666,7,9,9
6936.666666666666,5,9,9
6946.666666666666,5,9,9
6956.666666666666,5,9,9
6966.666666666666,5,9,9
6976.666666666666,5,9,9
6986.666666666666,5,9,9
6996.666666666666,5,9,9
7006.666666666666,5,9,9
7016.666666666666,5,9,9
7026.666666666666,5,9,9
7036.666666666666,5,9,9
7046.666666666666,5,9,9
7056.666666666666,5,9,9
7066.666666666666,5,9,9
7076.666666666666,5,9,9
7086.666666666666,5,9,9
7096.666666666666,5,9,9
7106.666666666666,5,9,9
7116.666666666666,5,9,9
7126.666666666666,5,9,9
7136.666666666666,5,9,9
7146.666666666666,5,9,9
7156.666666666666,5,9,9
7166.666666666666,5,9,9
7176.666666666666,5,9,9
7186.666666666666,5,9,9
7196.666666666666,5,9,9
7206.666666666666,5,9,9
7216.666666666666,5,9,9
7226.666666666666,5,9,9
7236.666666666666,5,9,9
7246.666666666666,5,9,9
7256.666666666666,5,9,9
7266.666666666666,6,9,9
7276.666666666666,6,10,10
7286.666666666666,6,10,10
7296.666666666666,6,10,10
7306.666666666666,6,10,10
7316.666666666666,6,10,10
7326.666666666666,7,10,10
7336.666666666666,7,10,10
7346.666666666666,7,10,10
7356.666666666666,7,10,10
7366.666666666666,7,10,10
7376.666666666666,7,10,10
7386.666666666666,7,10,10
7396.666666666666,7,10,10
