t,f,pos,state,final_state,id
37950,0.04232,1,1,fixed,1
37960,0.13241176470588234,1,1,fixed,1
37970,0.28802,1,1,fixed,1
37980,0.54146,1,1,fixed,1
37990,0.78136,1,1,fixed,1
38000,0.9217,1,1,fixed,1
38010,0.97558,1,1,fixed,1
19060,0.04776,1,-1,fixed,2
19070,0.06142,1,-1,fixed,2
19080,0.07858,1,-1,fixed,2
19090,0.11524,1,-1,fixed,2
19100,0.15282,1,-1,fixed,2
19110,0.20604,1,-1,fixed,2
19120,0.25112,1,-1,fixed,2
19130,0.30534,1,-1,fixed,2
19140,0.3759,1,-1,fixed,2
19150,0.43738,1,-1,fixed,2
19160,0.49914,1,-1,fixed,2
19170,0.54116,1,-1,fixed,2
19180,0.5791,1,-1,fixed,2
19190,0.62328,1,-1,fixed,2
19200,0.6432,1,-1,fixed,2
19210,0.67646,1,-1,fixed,2
19220,0.71472,1,-1,fixed,2
19230,0.74192,1,-1,fixed,2
19240,0.76284,1,-1,fixed,2
19250,0.78334,1,-1,fixed,2
19260,0.80504,1,-1,fixed,2
19270,0.81676,1,-1,fixed,2
19280,0.83338,1,-1,fixed,2
19290,0.84462,1,-1,fixed,2
19300,0.86022,1,-1,fixed,2
19310,0.88064,1,-1,fixed,2
19320,0.89386,1,-1,fixed,2
19330,0.90194,1,-1,fixed,2
19340,0.91498,1,-1,fixed,2
19350,0.92492,1,-1,fixed,2
19360,0.9393,1,-1,fixed,2
19370,0.95686,1,-1,fixed,2
60620,0.03918,2,-1,lost,3
60630,0.0716,2,-1,lost,3
60640,0.1231,2,-1,lost,3
60650,0.19126,2,-1,lost,3
60660,0.28798,2,-1,lost,3
60670,0.3733,2,-1,lost,3
60680,0.41522,2,-1,lost,3
60690,0.41658,2,-1,lost,3
60700,0.39326,2,-1,lost,3
60710,0.36128,2,-1,lost,3
60720,0.33086,2,-1,lost,3
60730,0.28688,2,-1,lost,3
60740,0.2579,2,-1,lost,3
60750,0.22748,2,-1,lost,3
60760,0.18222,2,-1,lost,3
60770,0.1512,2,-1,lost,3
60780,0.1197,2,-1,lost,3
60790,0.09442,2,-1,lost,3
60800,0.06016,2,-1,lost,3
60810,0.03054,2,-1,lost,3
61700,0.04118,2,-1,lost,4
