t,f,pos,state,final_state,id
43070,0.04786,1,1,fixed,1
43080,0.05978,1,1,fixed,1
43090,0.07416,1,1,fixed,1
43100,0.08412,1,1,fixed,1
43110,0.09156,1,1,fixed,1
43120,0.10232,1,1,fixed,1
43130,0.11724,1,1,fixed,1
43140,0.14318,1,1,fixed,1
43150,0.1608,1,1,fixed,1
43160,0.18516,1,1,fixed,1
43170,0.21378,1,1,fixed,1
43180,0.24228,1,1,fixed,1
43190,0.28068,1,1,fixed,1
43200,0.32474,1,1,fixed,1
43210,0.3652,1,1,fixed,1
43220,0.39776,1,1,fixed,1
43230,0.4394,1,1,fixed,1
43240,0.48746,1,1,fixed,1
43250,0.53348,1,1,fixed,1
43260,0.56358,1,1,fixed,1
43270,0.61468,1,1,fixed,1
43280,0.63986,1,1,fixed,1
43290,0.6807,1,1,fixed,1
43300,0.713,1,1,fixed,1
43310,0.7504,1,1,fixed,1
43320,0.77206,1,1,fixed,1
43330,0.801,1,1,fixed,1
43340,0.82442,1,1,fixed,1
43350,0.85118,1,1,fixed,1
43360,0.86506,1,1,fixed,1
43370,0.88958,1,1,fixed,1
43380,0.90168,1,1,fixed,1
43390,0.91792,1,1,fixed,1
43400,0.93356,1,1,fixed,1
43410,0.9445,1,1,fixed,1
43420,0.9581,1,1,fixed,1
29210,0.02806,1,-1,fixed,2
29220,0.05764,1,-1,fixed,2
29230,0.11678,1,-1,fixed,2
29240,0.23352,1,-1,fixed,2
29250,0.42028,1,-1,fixed,2
29260,0.6428,1,-1,fixed,2
29270,0.81338,1,-1,fixed,2
29280,0.91178,1,-1,fixed,2
29290,0.95726,1,-1,fixed,2
90440,0.04786,1,-1,fixed,3
90450,0.0904,1,-1,fixed,3
90460,0.16252,1,-1,fixed,3
90470,0.2719,1,-1,fixed,3
90480,0.42044,1,-1,fixed,3
90490,0.58196,1,-1,fixed,3
90500,0.7365,1,-1,fixed,3
90510,0.84616,1,-1,fixed,3
90520,0.9151,1,-1,fixed,3
90530,0.95564,1,-1,fixed,3
90240,0.03984,3,1,fixed,4
90250,0.05314,3,1,fixed,4
90260,0.07582,3,1,fixed,4
90270,0.1037,3,1,fixed,4
90280,0.13526,3,1,fixed,4
90290,0.16822,3,1,fixed,4
90300,0.21258,3,1,fixed,4
90310,0.26338,3,1,fixed,4
90320,0.30908,3,1,fixed,4
90330,0.36622,3,1,fixed,4
90340,0.40394,3,1,fixed,4
90350,0.44278,3,1,fixed,4
90360,0.47844,3,1,fixed,4
90370,0.52486,3,1,fixed,4
90380,0.57812,3,1,fixed,4
90390,0.61138,3,1,fixed,4
90400,0.6422,3,1,fixed,4
90410,0.66566,3,1,fixed,4
90420,0.69774,3,1,fixed,4
90430,0.7268,3,1,fixed,4
90440,0.7533,3,1,fixed,4
90450,0.79154,3,1,fixed,4
90460,0.83176,3,1,fixed,4
90470,0.87636,3,1,fixed,4
90480,0.91092,3,1,fixed,4
90490,0.93678,3,1,fixed,4
90500,0.9672,3,1,fixed,4
57090,0.0476,3,-1,fixed,5
57100,0.05608,3,-1,fixed,5
