t,varpos_5
51.85185185185184,0
61.85185185185184,0
71.85185185185185,0
81.85185185185185,1
91.85185185185185,1
101.85185185185185,2
111.85185185185185,2
121.85185185185185,3
131.85185185185185,3
141.85185185185185,3
151.85185185185185,3
161.85185185185185,3
171.85185185185185,4
181.85185185185185,4
191.85185185185185,4
201.85185185185185,4
211.85185185185185,4
221.85185185185185,4
231.85185185185185,4
241.85185185185185,4
251.85185185185185,4
261.85185185185185,4
271.85185185185185,4
281.85185185185185,4
291.85185185185185,5
301.85185185185185,5
311.85185185185185,5
321.85185185185185,6
331.85185185185185,6
341.85185185185185,6
351.85185185185185,6
361.85185185185185,6
371.85185185185185,6
381.85185185185185,7
391.85185185185185,7
401.85185185185185,7
411.85185185185185,7
421.85185185185185,7
431.85185185185185,7
441.85185185185185,5
451.85185185185185,5
461.85185185185185,5
471.85185185185185,6
481.85185185185185,6
491.85185185185185,6
501.85185185185185,6
511.85185185185185,6
521.8518518518518,1
531.8518518518518,0
541.8518518518518,0
551.8518518518518,0
561.8518518518518,0
571.8518518518518,0
581.8518518518518,0
591.8518518518518,1
601.8518518518518,1
611.8518518518518,8
621.8518518518518,8
631.8518518518518,8
641.8518518518518,8
651.8518518518518,8
661.8518518518518,8
671.8518518518518,8
681.8518518518518,8
691.8518518518518,8
701.8518518518518,8
711.8518518518518,8
721.8518518518518,9
731.8518518518518,9
741.8518518518518,9
751.8518518518518,10
761.8518518518518,10
771.8518518518518,10
781.8518518518518,10
791.8518518518518,11
801.8518518518518,11
811.8518518518518,11
821.8518518518518,10
831.8518518518518,9
841.8518518518518,2
851.8518518518518,0
861.8518518518518,0
871.8518518518518,0
881.8518518518518,0
891.8518518518518,1
901.8518518518518,1
911.8518518518518,1
921.8518518518518,1
931.8518518518518,1
941.8518518518518,1
951.8518518518518,1
961.8518518518518,1
971.8518518518518,1
981.8518518518518,1
991.8518518518518,1
1001.8518518518518,2
1011.8518518518518,2
1021.8518518518518,2
1031.8518518518517,2
1041.8518518518517,2
1051.8518518518517,2
1061.8518518518517,2
1071.8518518518517,1
1081.8518518518517,0
1091.8518518518517,0
1101.8518518518517,1
1111.8518518518517,1
1121.8518518518517,2
1131.8518518518517,2
1141.8518518518517,2
1151.8518518518517,2
1161.8518518518517,2
1171.8518518518517,2
1181.8518518518517,2
1191.8518518518517,3
1201.8518518518517,3
1211.8518518518517,3
1221.8518518518517,3
1231.8518518518517,3
1241.8518518518517,3
1251.8518518518517,3
1261.8518518518517,3
1271.8518518518517,3
1281.8518518518517,3
1291.8518518518517,3
1301.8518518518517,3
1311.8518518518517,3
1321.8518518518517,3
1331.8518518518517,3
1341.8518518518517,3
1351.8518518518517,4
1361.8518518518517,4
1371.8518518518517,6
1381.8518518518517,6
1391.8518518518517,6
1401.8518518518517,6
1411.8518518518517,6
1421.8518518518517,6
1431.8518518518517,6
1441.8518518518517,6
1451.8518518518517,6
1461.8518518518517,6
1471.8518518518517,6
1481.8518518518517,6
1491.8518518518517,8
1501.8518518518517,8
1511.8518518518517,8
1521.8518518518517,3
1531.8518518518517,3
1541.8518518518517,2
1551.8518518518517,2
1561.8518518518517,2
1571.8518518518517,2
1581.8518518518517,2
1591.8518518518517,3
1601.8518518518517,3
1611.8518518518517,3
1621.8518518518517,4
1631.8518518518517,4
1641.8518518518517,4
1651.8518518518517,4
1661.8518518518517,4
1671.8518518518517,4
1681.8518518518517,4
1691.8518518518517,4
1701.8518518518517,4
1711.8518518518517,3
1721.8518518518517,3
1731.8518518518517,4
1741.8518518518517,4
1751.8518518518517,4
1761.8518518518517,6
1771.8518518518517,6
1781.8518518518517,6
1791.8518518518517,6
1801.8518518518517,6
1811.8518518518517,6
1821.8518518518517,6
1831.8518518518517,6
1841.8518518518517,6
1851.8518518518517,6
1861.8518518518517,6
1871.8518518518517,6
1881.8518518518517,6
1891.8518518518517,6
1901.8518518518517,6
1911.8518518518517,6
1921.8518518518517,6
1931.8518518518517,6
1941.8518518518517,7
1951.8518518518517,7
1961.8518518518517,7
1971.8518518518517,7
1981.8518518518517,7
1991.8518518518517,7
2001.8518518518517,7
2011.8518518518517,5
2021.8518518518517,5
2031.8518518518517,5
2041.8518518518517,4
2051.8518518518517,2
2061.8518518518517,1
2071.8518518518517,2
2081.8518518518517,1
2091.8518518518517,1
2101.8518518518517,1
2111.8518518518517,1
2121.8518518518517,1
2131.8518518518517,0
2141.8518518518517,0
2151.8518518518517,0
2161.8518518518517,0
2171.8518518518517,0
2181.8518518518517,0
