t,f,pos,state,final_state,id
53490,0.19568,1,-1,lost,1
53500,0.14262,1,-1,lost,1
53510,0.1076,1,-1,lost,1
53520,0.08624,1,-1,lost,1
53530,0.07208,1,-1,lost,1
53540,0.06452,1,-1,lost,1
53550,0.0675,1,-1,lost,1
53560,0.06758,1,-1,lost,1
53570,0.06854,1,-1,lost,1
53580,0.07138,1,-1,lost,1
53590,0.07304,1,-1,lost,1
53600,0.08188,1,-1,lost,1
53610,0.0929,1,-1,lost,1
53620,0.10586,1,-1,lost,1
53630,0.1114,1,-1,lost,1
53640,0.0983,1,-1,lost,1
53650,0.07372,1,-1,lost,1
53660,0.05294,1,-1,lost,1
53670,0.03302,1,-1,lost,1
53790,0.04136,1,-1,lost,2
53800,0.05292,1,-1,lost,2
53810,0.0586,1,-1,lost,2
53820,0.06746,1,-1,lost,2
53830,0.07906,1,-1,lost,2
53840,0.08906,1,-1,lost,2
53850,0.09516,1,-1,lost,2
53860,0.10382,1,-1,lost,2
53870,0.10854,1,-1,lost,2
53880,0.11182,1,-1,lost,2
53890,0.11822,1,-1,lost,2
53900,0.11634,1,-1,lost,2
53910,0.11906,1,-1,lost,2
53920,0.11486,1,-1,lost,2
53930,0.10324,1,-1,lost,2
53940,0.10094,1,-1,lost,2
53950,0.0915,1,-1,lost,2
53960,0.08756,1,-1,lost,2
53970,0.08714,1,-1,lost,2
53980,0.0904,1,-1,lost,2
53990,0.08852,1,-1,lost,2
54000,0.09,1,-1,lost,2
54010,0.08642,1,-1,lost,2
54020,0.08562,1,-1,lost,2
54030,0.08992,1,-1,lost,2
54040,0.09156,1,-1,lost,2
54050,0.1021,1,-1,lost,2
54060,0.10774,1,-1,lost,2
54070,0.11138,1,-1,lost,2
54080,0.11488,1,-1,lost,2
54090,0.12112,1,-1,lost,2
54100,0.12596,1,-1,lost,2
54110,0.13662,1,-1,lost,2
54120,0.14014,1,-1,lost,2
54130,0.15036,1,-1,lost,2
54140,0.15188,1,-1,lost,2
54150,0.16874,1,-1,lost,2
54160,0.17704,1,-1,lost,2
54170,0.19776,1,-1,lost,2
54180,0.20788,1,-1,lost,2
54190,0.21466,1,-1,lost,2
54200,0.23052,1,-1,lost,2
54210,0.23964,1,-1,lost,2
54220,0.24262,1,-1,lost,2
54230,0.26132,1,-1,lost,2
54240,0.2652745098039216,1,-1,lost,2
54250,0.27014,1,-1,lost,2
54260,0.26932,1,-1,lost,2
54270,0.26434,1,-1,lost,2
54280,0.2618,1,-1,lost,2
54290,0.2688,1,-1,lost,2
54300,0.26206,1,-1,lost,2
54310,0.25274,1,-1,lost,2
54320,0.24324,1,-1,lost,2
54330,0.22454,1,-1,lost,2
54340,0.20498,1,-1,lost,2
54350,0.1896,1,-1,lost,2
54360,0.17486,1,-1,lost,2
54370,0.16538,1,-1,lost,2
54380,0.15536,1,-1,lost,2
54390,0.14508,1,-1,lost,2
54400,0.13596,1,-1,lost,2
54410,0.12908,1,-1,lost,2
54420,0.12984,1,-1,lost,2
54430,0.12728,1,-1,lost,2
54440,0.12156,1,-1,lost,2
54450,0.1123,1,-1,lost,2
54460,0.1082,1,-1,lost,2
54470,0.10488,1,-1,lost,2
54480,0.09818,1,-1,lost,2
54490,0.09808,1,-1,lost,2
54500,0.10164,1,-1,lost,2
54510,0.09478,1,-1,lost,2
54520,0.0962,1,-1,lost,2
54530,0.09794,1,-1,lost,2
54540,0.0991,1,-1,lost,2
54550,0.09982,1,-1,lost,2
54560,0.10238,1,-1,lost,2
54570,0.10566,1,-1,lost,2
54580,0.11094,1,-1,lost,2
54590,0.1121,1,-1,lost,2
54600,0.11558,1,-1,lost,2
54610,0.11902,1,-1,lost,2
54620,0.11884,1,-1,lost,2
54630,0.12248,1,-1,lost,2
54640,0.10808,1,-1,lost,2
54650,0.10998,1,-1,lost,2
54660,0.10856,1,-1,lost,2
54670,0.09312,1,-1,lost,2
54680,0.07986,1,-1,lost,2
54690,0.0602,1,-1,lost,2
54700,0.04276,1,-1,lost,2
95160,0.04624,1,-1,lost,3
95170,0.05088,1,-1,lost,3
95180,0.05334,1,-1,lost,3
95190,0.05496,1,-1,lost,3
95200,0.0615,1,-1,lost,3
95210,0.06288,1,-1,lost,3
95220,0.06942,1,-1,lost,3
95230,0.06818,1,-1,lost,3
95240,0.06996,1,-1,lost,3
95250,0.07172,1,-1,lost,3
95260,0.07158,1,-1,lost,3
95270,0.0766,1,-1,lost,3
95280,0.08034,1,-1,lost,3
95290,0.0848,1,-1,lost,3
95300,0.08282,1,-1,lost,3
95310,0.0805,1,-1,lost,3
95320,0.08056,1,-1,lost,3
95330,0.07906,1,-1,lost,3
95340,0.07458,1,-1,lost,3
95350,0.07022,1,-1,lost,3
95360,0.06488,1,-1,lost,3
95370,0.06186,1,-1,lost,3
95380,0.06098,1,-1,lost,3
95390,0.05676,1,-1,lost,3
95400,0.056,1,-1,lost,3
95410,0.0506,1,-1,lost,3
95420,0.04436,1,-1,lost,3
61810,0.03858,2,1,fixed,4
61820,0.05584,2,1,fixed,4
61830,0.08748,2,1,fixed,4
61840,0.1399,2,1,fixed,4
61850,0.22334,2,1,fixed,4
61860,0.30926,2,1,fixed,4
61870,0.39964,2,1,fixed,4
61880,0.49038,2,1,fixed,4
61890,0.56312,2,1,fixed,4
61900,0.63484,2,1,fixed,4
61910,0.68456,2,1,fixed,4
61920,0.7351,2,1,fixed,4
61930,0.75492,2,1,fixed,4
61940,0.77878,2,1,fixed,4
61950,0.79454,2,1,fixed,4
61960,0.79942,2,1,fixed,4
61970,0.80642,2,1,fixed,4
61980,0.81322,2,1,fixed,4
61990,0.81792,2,1,fixed,4
62000,0.82062,2,1,fixed,4
62010,0.82298,2,1,fixed,4
62020,0.83112,2,1,fixed,4
62030,0.84424,2,1,fixed,4
62040,0.84624,2,1,fixed,4
62050,0.85148,2,1,fixed,4
62060,0.84184,2,1,fixed,4
62070,0.84676,2,1,fixed,4
62080,0.84606,2,1,fixed,4
62090,0.84388,2,1,fixed,4
62100,0.83808,2,1,fixed,4
62110,0.83378,2,1,fixed,4
62120,0.8399,2,1,fixed,4
62130,0.82824,2,1,fixed,4
62140,0.8334,2,1,fixed,4
62150,0.83568,2,1,fixed,4
62160,0.83904,2,1,fixed,4
62170,0.84072,2,1,fixed,4
62180,0.8409,2,1,fixed,4
62190,0.83192,2,1,fixed,4
62200,0.8386,2,1,fixed,4
62210,0.83532,2,1,fixed,4
62220,0.83118,2,1,fixed,4
62230,0.82348,2,1,fixed,4
62240,0.8187,2,1,fixed,4
62250,0.8158,2,1,fixed,4
62260,0.81974,2,1,fixed,4
62270,0.8179,2,1,fixed,4
62280,0.82148,2,1,fixed,4
62290,0.83614,2,1,fixed,4
62300,0.83828,2,1,fixed,4
62310,0.8412,2,1,fixed,4
62320,0.8466,2,1,fixed,4
62330,0.84738,2,1,fixed,4
62340,0.8414,2,1,fixed,4
62350,0.84142,2,1,fixed,4
62360,0.83926,2,1,fixed,4
62370,0.83984,2,1,fixed,4
62380,0.83816,2,1,fixed,4
62390,0.83674,2,1,fixed,4
62400,0.84678,2,1,fixed,4
62410,0.84868,2,1,fixed,4
62420,0.83922,2,1,fixed,4
62430,0.83728,2,1,fixed,4
62440,0.83898,2,1,fixed,4
62450,0.8465,2,1,fixed,4
62460,0.85128,2,1,fixed,4
62470,0.8468,2,1,fixed,4
62480,0.84638,2,1,fixed,4
62490,0.84866,2,1,fixed,4
62500,0.8511,2,1,fixed,4
62510,0.85964,2,1,fixed,4
62520,0.86766,2,1,fixed,4
62530,0.86286,2,1,fixed,4
62540,0.85898,2,1,fixed,4
62550,0.8612,2,1,fixed,4
62560,0.86838,2,1,fixed,4
62570,0.87448,2,1,fixed,4
62580,0.8696,2,1,fixed,4
62590,0.8671,2,1,fixed,4
62600,0.86788,2,1,fixed,4
62610,0.86714,2,1,fixed,4
62620,0.86492,2,1,fixed,4
62630,0.86488,2,1,fixed,4
62640,0.86426,2,1,fixed,4
62650,0.86888,2,1,fixed,4
62660,0.87294,2,1,fixed,4
62670,0.87112,2,1,fixed,4
62680,0.87608,2,1,fixed,4
62690,0.88348,2,1,fixed,4
62700,0.89374,2,1,fixed,4
62710,0.90278,2,1,fixed,4
62720,0.91914,2,1,fixed,4
62730,0.93462,2,1,fixed,4
62740,0.94578,2,1,fixed,4
62750,0.95438,2,1,fixed,4
65020,0.04854,2,1,lost,5
65030,0.0504,2,1,lost,5
65040,0.05438,2,1,lost,5
65050,0.05828,2,1,lost,5
65060,0.0536,2,1,lost,5
65070,0.0527,2,1,lost,5
65080,0.0543,2,1,lost,5
65090,0.04946,2,1,lost,5
65100,0.04906,2,1,lost,6
65110,0.051,2,1,lost,6
65120,0.04646,2,1,lost,6
4540,0.04698,2,-1,lost,7
4550,0.0519,2,-1,lost,7
4560,0.04968,2,-1,lost,7
4570,0.05022,2,-1,lost,7
4580,0.05284,2,-1,lost,7
4590,0.05102,2,-1,lost,7
4600,0.05368,2,-1,lost,7
4610,0.05334,2,-1,lost,7
