t,f,pos,state,final_state,id
78160,0.04674,2,-1,fixed,1
78170,0.05414,2,-1,fixed,1
78180,0.06102,2,-1,fixed,1
78190,0.06922,2,-1,fixed,1
78200,0.08308,2,-1,fixed,1
78210,0.09568,2,-1,fixed,1
78220,0.10754,2,-1,fixed,1
78230,0.12582,2,-1,fixed,1
78240,0.1467,2,-1,fixed,1
78250,0.15672,2,-1,fixed,1
78260,0.1748,2,-1,fixed,1
78270,0.19288,2,-1,fixed,1
78280,0.20864,2,-1,fixed,1
78290,0.23128,2,-1,fixed,1
78300,0.25192,2,-1,fixed,1
78310,0.26424,2,-1,fixed,1
78320,0.2849,2,-1,fixed,1
78330,0.3024,2,-1,fixed,1
78340,0.32764,2,-1,fixed,1
78350,0.34556,2,-1,fixed,1
78360,0.35898,2,-1,fixed,1
78370,0.37082,2,-1,fixed,1
78380,0.3799,2,-1,fixed,1
78390,0.38038,2,-1,fixed,1
78400,0.38682,2,-1,fixed,1
78410,0.40412,2,-1,fixed,1
78420,0.40776,2,-1,fixed,1
78430,0.41404,2,-1,fixed,1
78440,0.41096,2,-1,fixed,1
78450,0.41022,2,-1,fixed,1
78460,0.41622,2,-1,fixed,1
78470,0.42162,2,-1,fixed,1
78480,0.42918,2,-1,fixed,1
78490,0.4219,2,-1,fixed,1
78500,0.42196,2,-1,fixed,1
78510,0.41632,2,-1,fixed,1
78520,0.41866,2,-1,fixed,1
78530,0.41708,2,-1,fixed,1
78540,0.40992,2,-1,fixed,1
78550,0.40148,2,-1,fixed,1
78560,0.39564,2,-1,fixed,1
78570,0.3838,2,-1,fixed,1
78580,0.39174,2,-1,fixed,1
78590,0.3862,2,-1,fixed,1
78600,0.3786,2,-1,fixed,1
78610,0.37834,2,-1,fixed,1
78620,0.38226,2,-1,fixed,1
78630,0.38416,2,-1,fixed,1
78640,0.38412,2,-1,fixed,1
78650,0.38682,2,-1,fixed,1
78660,0.39294,2,-1,fixed,1
78670,0.38848,2,-1,fixed,1
78680,0.38718,2,-1,fixed,1
78690,0.4021,2,-1,fixed,1
78700,0.40206,2,-1,fixed,1
78710,0.4011,2,-1,fixed,1
78720,0.39398,2,-1,fixed,1
78730,0.40188,2,-1,fixed,1
78740,0.3939,2,-1,fixed,1
78750,0.39178,2,-1,fixed,1
78760,0.37752,2,-1,fixed,1
78770,0.3716,2,-1,fixed,1
78780,0.36804,2,-1,fixed,1
78790,0.3662,2,-1,fixed,1
78800,0.36922,2,-1,fixed,1
78810,0.36336,2,-1,fixed,1
78820,0.36842,2,-1,fixed,1
78830,0.3517,2,-1,fixed,1
78840,0.35968,2,-1,fixed,1
78850,0.35926,2,-1,fixed,1
78860,0.359,2,-1,fixed,1
78870,0.3663,2,-1,fixed,1
78880,0.36038,2,-1,fixed,1
78890,0.36142,2,-1,fixed,1
78900,0.36682,2,-1,fixed,1
78910,0.37196,2,-1,fixed,1
78920,0.3726,2,-1,fixed,1
78930,0.37074,2,-1,fixed,1
78940,0.38746,2,-1,fixed,1
78950,0.38696,2,-1,fixed,1
78960,0.38296,2,-1,fixed,1
78970,0.3734,2,-1,fixed,1
78980,0.3755,2,-1,fixed,1
78990,0.37888,2,-1,fixed,1
79000,0.37572,2,-1,fixed,1
79010,0.37342,2,-1,fixed,1
79020,0.3897,2,-1,fixed,1
79030,0.38434,2,-1,fixed,1
79040,0.38276,2,-1,fixed,1
79050,0.37758,2,-1,fixed,1
79060,0.37646,2,-1,fixed,1
79070,0.37698,2,-1,fixed,1
79080,0.39036,2,-1,fixed,1
79090,0.38812,2,-1,fixed,1
79100,0.39134,2,-1,fixed,1
79110,0.3907,2,-1,fixed,1
79120,0.39516,2,-1,fixed,1
79130,0.40074,2,-1,fixed,1
79140,0.40606,2,-1,fixed,1
79150,0.39016,2,-1,fixed,1
79160,0.38598,2,-1,fixed,1
79170,0.38866,2,-1,fixed,1
79180,0.38088,2,-1,fixed,1
79190,0.38016,2,-1,fixed,1
79200,0.38296,2,-1,fixed,1
79210,0.3829,2,-1,fixed,1
79220,0.38466,2,-1,fixed,1
79230,0.38408,2,-1,fixed,1
79240,0.37514,2,-1,fixed,1
79250,0.37794,2,-1,fixed,1
79260,0.38686,2,-1,fixed,1
79270,0.39648,2,-1,fixed,1
79280,0.40386,2,-1,fixed,1
79290,0.41278,2,-1,fixed,1
79300,0.40654,2,-1,fixed,1
79310,0.40514,2,-1,fixed,1
79320,0.40496,2,-1,fixed,1
79330,0.40338,2,-1,fixed,1
79340,0.4091,2,-1,fixed,1
79350,0.4041,2,-1,fixed,1
79360,0.40126,2,-1,fixed,1
79370,0.39878,2,-1,fixed,1
79380,0.38696,2,-1,fixed,1
79390,0.3841,2,-1,fixed,1
79400,0.3839,2,-1,fixed,1
79410,0.38772,2,-1,fixed,1
79420,0.38066,2,-1,fixed,1
79430,0.36286,2,-1,fixed,1
79440,0.37448,2,-1,fixed,1
79450,0.3886,2,-1,fixed,1
79460,0.38638,2,-1,fixed,1
79470,0.39064,2,-1,fixed,1
79480,0.38428,2,-1,fixed,1
79490,0.38586,2,-1,fixed,1
79500,0.3771,2,-1,fixed,1
79510,0.38082,2,-1,fixed,1
79520,0.37298,2,-1,fixed,1
79530,0.37484,2,-1,fixed,1
79540,0.37126,2,-1,fixed,1
79550,0.36738,2,-1,fixed,1
79560,0.38668,2,-1,fixed,1
