t,f,pos,state,final_state,id
22400,0.04856,1,1,fixed,1
22410,0.05166,1,1,fixed,1
22420,0.06162,1,1,fixed,1
22430,0.0831,1,1,fixed,1
22440,0.10358,1,1,fixed,1
22450,0.11898,1,1,fixed,1
22460,0.13656,1,1,fixed,1
22470,0.16884,1,1,fixed,1
22480,0.18508,1,1,fixed,1
22490,0.2153,1,1,fixed,1
22500,0.2286,1,1,fixed,1
22510,0.24246,1,1,fixed,1
22520,0.25322,1,1,fixed,1
22530,0.23922,1,1,fixed,1
22540,0.21194,1,1,fixed,1
22550,0.20442,1,1,fixed,1
22560,0.1849,1,1,fixed,1
22570,0.15558,1,1,fixed,1
22580,0.142,1,1,fixed,1
22590,0.12678,1,1,fixed,1
22600,0.1115,1,1,fixed,1
22610,0.10432,1,1,fixed,1
22620,0.10042,1,1,fixed,1
22630,0.0927,1,1,fixed,1
22640,0.10016,1,1,fixed,1
22650,0.10488,1,1,fixed,1
22660,0.11132,1,1,fixed,1
22670,0.1147,1,1,fixed,1
22680,0.12162,1,1,fixed,1
22690,0.13724,1,1,fixed,1
22700,0.15612,1,1,fixed,1
22710,0.17206,1,1,fixed,1
22720,0.21024,1,1,fixed,1
22730,0.24014,1,1,fixed,1
22740,0.27022,1,1,fixed,1
22750,0.31302,1,1,fixed,1
22760,0.37402,1,1,fixed,1
22770,0.43144,1,1,fixed,1
22780,0.48484,1,1,fixed,1
22790,0.50862,1,1,fixed,1
22800,0.53774,1,1,fixed,1
22810,0.56768,1,1,fixed,1
22820,0.5912,1,1,fixed,1
22830,0.62196,1,1,fixed,1
22840,0.66318,1,1,fixed,1
22850,0.68592,1,1,fixed,1
22860,0.71258,1,1,fixed,1
22870,0.74298,1,1,fixed,1
22880,0.76732,1,1,fixed,1
22890,0.8001,1,1,fixed,1
22900,0.82836,1,1,fixed,1
22910,0.85284,1,1,fixed,1
22920,0.88084,1,1,fixed,1
22930,0.89534,1,1,fixed,1
22940,0.90834,1,1,fixed,1
22950,0.91694,1,1,fixed,1
22960,0.91462,1,1,fixed,1
22970,0.91752,1,1,fixed,1
22980,0.9219607843137255,1,1,fixed,1
22990,0.9219607843137255,1,1,fixed,1
23000,0.91084,1,1,fixed,1
23010,0.9101,1,1,fixed,1
23020,0.89854,1,1,fixed,1
23030,0.8922156862745098,1,1,fixed,1
23040,0.8768,1,1,fixed,1
23050,0.86638,1,1,fixed,1
23060,0.85992,1,1,fixed,1
23070,0.85594,1,1,fixed,1
23080,0.84996,1,1,fixed,1
23090,0.85036,1,1,fixed,1
23100,0.85774,1,1,fixed,1
23110,0.84518,1,1,fixed,1
23120,0.8597,1,1,fixed,1
23130,0.86686,1,1,fixed,1
23140,0.87498,1,1,fixed,1
23150,0.8749,1,1,fixed,1
23160,0.8732,1,1,fixed,1
23170,0.86698,1,1,fixed,1
23180,0.86614,1,1,fixed,1
23190,0.85872,1,1,fixed,1
23200,0.84204,1,1,fixed,1
23210,0.81862,1,1,fixed,1
23220,0.7988,1,1,fixed,1
23230,0.77474,1,1,fixed,1
23240,0.74162,1,1,fixed,1
23250,0.71234,1,1,fixed,1
23260,0.68474,1,1,fixed,1
23270,0.65168,1,1,fixed,1
23280,0.64152,1,1,fixed,1
23290,0.62838,1,1,fixed,1
23300,0.62614,1,1,fixed,1
23310,0.6076,1,1,fixed,1
23320,0.59474,1,1,fixed,1
23330,0.59626,1,1,fixed,1
23340,0.59182,1,1,fixed,1
23350,0.60952,1,1,fixed,1
23360,0.61366,1,1,fixed,1
23370,0.62174,1,1,fixed,1
23380,0.61998,1,1,fixed,1
23390,0.61174,1,1,fixed,1
23400,0.58562,1,1,fixed,1
23410,0.59258,1,1,fixed,1
23420,0.60574,1,1,fixed,1
23430,0.60158,1,1,fixed,1
23440,0.6360196078431373,1,1,fixed,1
23450,0.69462,1,1,fixed,1
23460,0.8259,1,1,fixed,1
23470,0.92778,1,1,fixed,1
23480,0.9736,1,1,fixed,1
22100,0.02958,1,-1,fixed,2
22110,0.05042,1,-1,fixed,2
22120,0.07628,1,-1,fixed,2
22130,0.10616,1,-1,fixed,2
22140,0.14956,1,-1,fixed,2
22150,0.21426,1,-1,fixed,2
22160,0.26956,1,-1,fixed,2
22170,0.33584,1,-1,fixed,2
22180,0.41884,1,-1,fixed,2
22190,0.47918,1,-1,fixed,2
22200,0.55984,1,-1,fixed,2
22210,0.6232,1,-1,fixed,2
22220,0.67446,1,-1,fixed,2
22230,0.70792,1,-1,fixed,2
22240,0.74384,1,-1,fixed,2
22250,0.77752,1,-1,fixed,2
22260,0.8077,1,-1,fixed,2
22270,0.84488,1,-1,fixed,2
22280,0.87806,1,-1,fixed,2
22290,0.90526,1,-1,fixed,2
22300,0.92024,1,-1,fixed,2
22310,0.93508,1,-1,fixed,2
22320,0.943,1,-1,fixed,2
22330,0.95158,1,-1,fixed,2
52650,0.0488,1,-1,lost,3
52660,0.0534,1,-1,lost,3
52670,0.05328,1,-1,lost,3
52680,0.0482,1,-1,lost,3
74590,0.04822,1,-1,lost,4
74600,0.05164,1,-1,lost,4
74610,0.04404,1,-1,lost,4
58210,0.0412,2,1,fixed,5
58220,0.08936,2,1,fixed,5
58230,0.16958,2,1,fixed,5
58240,0.27324,2,1,fixed,5
58250,0.3744,2,1,fixed,5
58260,0.45926,2,1,fixed,5
58270,0.5425,2,1,fixed,5
58280,0.63328,2,1,fixed,5
58290,0.70232,2,1,fixed,5
58300,0.73392,2,1,fixed,5
58310,0.77556,2,1,fixed,5
58320,0.80526,2,1,fixed,5
58330,0.83084,2,1,fixed,5
58340,0.84976,2,1,fixed,5
58350,0.87276,2,1,fixed,5
58360,0.89194,2,1,fixed,5
58370,0.91132,2,1,fixed,5
58380,0.9291,2,1,fixed,5
58390,0.94558,2,1,fixed,5
58400,0.96258,2,1,fixed,5
9400,0.04072,2,-1,lost,6
9410,0.05696,2,-1,lost,6
9420,0.0733,2,-1,lost,6
9430,0.09208,2,-1,lost,6
9440,0.12234,2,-1,lost,6
9450,0.16328,2,-1,lost,6
9460,0.2106,2,-1,lost,6
9470,0.27874,2,-1,lost,6
9480,0.36032,2,-1,lost,6
9490,0.4469,2,-1,lost,6
9500,0.50358,2,-1,lost,6
9510,0.55696,2,-1,lost,6
9520,0.608,2,-1,lost,6
9530,0.63754,2,-1,lost,6
