α,ρ,s,mf,mt
0.03,0.006,0.03,"[2.6715686274509803e-5, 5.425680698819822e-5, 8.995516215965092e-5, 0.00012935095483691085, 0.00017094589257503942, 0.0002058912972772048, 0.0002794499814143669, 0.0003448889508409994, 0.0004171617995539445, 0.00048534255645386117, 0.0005661701979369948, 0.0006088127265124062, 0.0006431700701607655, 0.0006738385721587213, 0.0006829890925564539, 0.000708592196357216, 0.0007197281270328038, 0.0007221148708298486, 0.0007183443685531085, 0.0007277042096459436, 0.0007154295023696682, 0.0006955735991078896, 0.0007304051668060586, 0.0007899445915807081, 0.0007993500836353498, 0.0007887560984109284, 0.0007897720936715919, 0.0008853276298671126, 0.0009709667433324042, 0.0012032002000688757, 0.0014497438667410093, 0.001622952908651612, 0.0017626981112350154, 0.001981274509803922, 0.0021752521257318086, 0.002313936437134096, 0.0023884839350432115, 0.002565063481553759, 0.002756835157048601, 0.002909991868785429, 0.003065049890809404, 0.0032687426238267813, 0.0033939754088839324, 0.003513684195242078, 0.0037011071810240694, 0.0037940460923705966, 0.004066852813400242, 0.00436269464009468, 0.004719897720936716, 0.005025915865161232, 0.005349913112164296, 0.005830060785953635, 0.006285468880680236, 0.006802377857541122, 0.007413971227116439, 0.008152221478569123, 0.009185929148422676, 0.01038191512765779, 0.011634409034940984, 0.012919255331070264, 0.01451120814018852, 0.016266641866462227, 0.018365211296557465, 0.02080104719224834, 0.023467091772030813, 0.026186152927647234, 0.028805062077381833, 0.03167283137090911, 0.0351199010690839, 0.03924843266967135, 0.043634915836235036, 0.048495195606957565, 0.05401858116910916, 0.06113440866482269, 0.069117431610108, 0.07869537384113101, 0.09113813903716403, 0.10915650748048969, 0.1303640594621829, 0.16043142776383823, 0.205595152388058, 0.2718155062273258, 0.36518294928035294, 0.4843592539553686, 0.5795333036418722, 0.6245414071044046, 0.6382537960074143, 0.6393426804742439, 0.6356042502143276, 0.6310286916465779, 0.6263063797543698, 0.6202066731272242, 0.6151728005408027, 0.6104049713678484, 0.6066654328015473, 0.6034417133812917, 0.6022230948468237, 0.6022549087151589, 0.5997989891852573, 0.5977971087655877, 0.5959144344728878, 0.595146282757177, 0.5944813199705816, 0.5940998261799141, 0.5935156881786258, 0.5935339380377647, 0.5929162248535922, 0.591458772088661, 0.5910024684921136, 0.5910080297634343, 0.5910810971866911, 0.5906739576147346, 0.5900440778075247, 0.5901963808305598, 0.5902330109898947, 0.5905765232372813, 0.59163274070445, 0.5909610263027709, 0.5895838816254594, 0.5873787625897168, 0.586400738438415, 0.586203256550297, 0.5866850081631018, 0.5872650200809114, 0.5877201706666777, 0.5885106936996529, 0.5888123804483693, 0.5885832121736808, 0.5878244661367943, 0.5866644361777097, 0.5857194337736493, 0.5851650123687847, 0.5849987187585974, 0.5850038266486551, 0.585597718989324, 0.5870030074937, 0.586995142922609, 0.586932347017006, 0.5868745577097578, 0.587073277866834, 0.5871283752022551, 0.5871839559190232, 0.5868710213386301, 0.5866265434206861, 0.5866165310735392, 0.5867036049489258, 0.5865345446485677, 0.5860216388018827, 0.5855766772053583, 0.5852234569004633, 0.5850591449447077, 0.5844188785255763, 0.5844052602569463, 0.5844422571500023, 0.5844692538893173, 0.5844956926633212, 0.5848044034011709, 0.5850774014961435, 0.5852276491497073, 0.585360963084286, 0.5854752441687575, 0.5855371433881612, 0.5858860647256069, 0.5862569320927423, 0.5862777511964501, 0.5861109063981043, 0.5860740307592232, 0.5860712743936437, 0.5861826794675216, 0.5865454293862095, 0.5866574840860513, 0.5865123883768728, 0.5864395254946603, 0.5866733463569425, 0.5867741549344856, 0.5868254437900751, 0.5868629651635535, 0.5870025363000649, 0.5870377856516178, 0.5871225572089025, 0.5871771753322181, 0.5871911736827432, 0.5874591541213642, 0.5875973641506366, 0.5875930170871666, 0.5876455314511736, 0.5876998352848248, 0.5878643223657597, 0.5880322813284081, 0.5880218562982066, 0.5880889695427934, 0.5881190075852617, 0.588103568151194, 0.5881689195358238, 0.5881516065537591, 0.5881845746793978, 0.5882893726187157, 0.5884386024184556, 0.588542359388068, 0.5886364071647616, 0.5886016808382121, 0.5885366616717778, 0.5884380253345414, 0.5884425209088375, 0.5884384907304154, 0.58842569196636, 0.5884337785173311, 0.5884371145223493, 0.5884784832961621, 0.5886086141506365, 0.5886628478998235, 0.5886814705882353]","[-2580.0, -2548.957345971564, -2517.9146919431278, -2486.872037914692, -2455.829383886256, -2424.78672985782, -2393.7440758293837, -2362.701421800948, -2331.658767772512, -2300.616113744076, -2269.5734597156397, -2238.5308056872036, -2207.488151658768, -2176.445497630332, -2145.4028436018957, -2114.3601895734596, -2083.3175355450235, -2052.274881516588, -2021.2322274881517, -1990.1895734597156, -1959.1469194312797, -1928.1042654028436, -1897.0616113744077, -1866.0189573459716, -1834.9763033175354, -1803.9336492890995, -1772.8909952606634, -1741.8483412322275, -1710.8056872037914, -1679.7630331753555, -1648.7203791469194, -1617.6777251184835, -1586.6350710900474, -1555.5924170616113, -1524.5497630331754, -1493.5071090047393, -1462.4644549763034, -1431.4218009478673, -1400.3791469194314, -1369.3364928909953, -1338.2938388625591, -1307.2511848341233, -1276.2085308056871, -1245.1658767772512, -1214.1232227488151, -1183.0805687203792, -1152.0379146919431, -1120.995260663507, -1089.952606635071, -1058.909952606635, -1027.867298578199, -996.824644549763, -965.781990521327, -934.739336492891, -903.696682464455, -872.654028436019, -841.611374407583, -810.568720379147, -779.526066350711, -748.4834123222748, -717.4407582938388, -686.3981042654028, -655.3554502369668, -624.3127962085308, -593.2701421800948, -562.2274881516588, -531.1848341232228, -500.14218009478674, -469.09952606635073, -438.0568720379147, -407.01421800947867, -375.97156398104266, -344.92890995260666, -313.8862559241706, -282.8436018957346, -251.8009478672986, -220.75829383886256, -189.71563981042655, -158.67298578199052, -127.6303317535545, -96.58767772511848, -65.54502369668246, -34.502369668246445, -3.4597156398104265, 27.582938388625593, 58.62559241706161, 89.66824644549763, 120.71090047393365, 151.75355450236967, 182.7962085308057, 213.8388625592417, 244.88151658767774, 275.92417061611377, 306.9668246445498, 338.0094786729858, 369.0521327014218, 400.09478672985784, 431.13744075829385, 462.18009478672985, 493.22274881516586, 524.2654028436019, 555.3080568720379, 586.3507109004739, 617.3933649289099, 648.4360189573459, 679.4786729857819, 710.5213270142181, 741.5639810426541, 772.6066350710901, 803.6492890995261, 834.6919431279621, 865.7345971563981, 896.7772511848341, 927.8199052132701, 958.8625592417062, 989.9052132701422, 1020.9478672985782, 1051.9905213270142, 1083.0331753554503, 1114.0758293838862, 1145.1184834123223, 1176.1611374407582, 1207.2037914691944, 1238.2464454976302, 1269.2890995260664, 1300.3317535545023, 1331.3744075829384, 1362.4170616113745, 1393.4597156398104, 1424.5023696682465, 1455.5450236966824, 1486.5876777251185, 1517.6303317535544, 1548.6729857819905, 1579.7156398104266, 1610.7582938388625, 1641.8009478672986, 1672.8436018957345, 1703.8862559241707, 1734.9289099526065, 1765.9715639810427, 1797.0142180094788, 1828.0568720379147, 1859.0995260663508, 1890.1421800947867, 1921.1848341232228, 1952.2274881516587, 1983.2701421800948, 2014.3127962085307, 2045.3554502369668, 2076.3981042654027, 2107.440758293839, 2138.483412322275, 2169.526066350711, 2200.5687203791467, 2231.611374407583, 2262.654028436019, 2293.696682464455, 2324.739336492891, 2355.781990521327, 2386.824644549763, 2417.867298578199, 2448.909952606635, 2479.952606635071, 2510.995260663507, 2542.037914691943, 2573.0805687203792, 2604.1232227488154, 2635.165876777251, 2666.208530805687, 2697.2511848341233, 2728.2938388625594, 2759.3364928909955, 2790.379146919431, 2821.4218009478673, 2852.4644549763034, 2883.5071090047395, 2914.549763033175, 2945.5924170616113, 2976.6350710900474, 3007.6777251184835, 3038.7203791469196, 3069.7630331753553, 3100.8056872037914, 3131.8483412322275, 3162.8909952606637, 3193.9336492890993, 3224.9763033175354, 3256.0189573459716, 3287.0616113744077, 3318.104265402844, 3349.1469194312795, 3380.1895734597156, 3411.2322274881517, 3442.274881516588, 3473.3175355450235, 3504.3601895734596, 3535.4028436018957, 3566.445497630332, 3597.488151658768, 3628.5308056872036, 3659.5734597156397, 3690.616113744076, 3721.658767772512, 3752.701421800948, 3783.7440758293837, 3814.78672985782, 3845.829383886256, 3876.872037914692, 3907.9146919431278, 3938.957345971564, 3970.0]"
0.0,0.03,0.03,"[0.00023248226950354608, 0.0010006543125142986, 0.0036318599862731637, 0.0058063234957675585, 0.008542123083962481, 0.011673679823794077, 0.015569125923533447, 0.023766219333306412, 0.0387896514908869, 0.07439674880338774, 0.14498796587131768, 0.2660040165798646, 0.4721192562387572, 0.6713569833259316, 0.7616513540671357, 0.785120229318907, 0.7832238292489269, 0.7879886419852772, 0.790219606497369, 0.7871471417228525, 0.7818226401281172, 0.7750254815831618, 0.7733446859649832, 0.7766430168535041, 0.7773428094257606, 0.7773264287348433, 0.7773235872797988, 0.7773049004804393, 0.777675015633341, 0.7786680301990392, 0.7790190208190346, 0.7792367375886525]","[-340.0, -311.93548387096774, -283.8709677419355, -255.80645161290323, -227.74193548387098, -199.67741935483872, -171.61290322580646, -143.5483870967742, -115.48387096774194, -87.41935483870968, -59.354838709677416, -31.29032258064516, -3.225806451612903, 24.838709677419356, 52.903225806451616, 80.96774193548387, 109.03225806451613, 137.09677419354838, 165.16129032258064, 193.2258064516129, 221.29032258064515, 249.3548387096774, 277.4193548387097, 305.48387096774195, 333.5483870967742, 361.61290322580646, 389.6774193548387, 417.741935483871, 445.80645161290323, 473.8709677419355, 501.93548387096774, 530.0]"
